state,parlimen,dun,total,male_18_20,female_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14
Kedah,P.017 Padang Serai,N.33 Merbau Pulas,52601,2501,2443,7026,6767,5018,5125,4163,4637,3646,3815,2048,2555,878,1201,252,386,63,77,52546,0,52,3,34498
Kedah,P.017 Padang Serai,N.34 Lunas,81266,3651,3458,11108,10735,8510,8291,6197,6639,5228,5886,3528,3929,1327,1622,366,594,74,123,81230,0,24,12,50336
Kedah,P.018 Kulim-Bandar Baharu,N.35 Kulim,54003,1715,1743,6259,6002,6304,5867,4419,4459,3713,4047,2749,3118,1132,1438,329,502,96,111,52706,0,1290,7,38572
Kedah,P.018 Kulim-Bandar Baharu,N.36 Bandar Baharu,36138,1099,1025,3799,3739,3915,3760,3375,3134,2683,2766,1787,2096,883,1181,281,505,37,73,35939,0,197,2,28015
Kelantan,P.019 Tumpat,N.01 Pengkalan Kubor,36278,1198,1203,3918,3996,4196,4077,3178,2977,2654,2449,1955,1614,999,839,349,372,147,157,36158,0,119,1,27395
Kelantan,P.019 Tumpat,N.02 Kelaboran,38082,1367,1218,4424,4430,4766,4426,3210,3090,2545,2572,1842,1856,724,935,178,315,84,100,37845,0,237,0,28498
Kelantan,P.019 Tumpat,N.03 Pasir Pekan,38876,1446,1417,4953,4805,4838,4759,3246,3225,2236,2463,1571,1833,704,859,147,290,21,63,38851,0,13,12,28075
Kelantan,P.019 Tumpat,N.04 Wakaf Bharu,36135,1300,1257,4129,4161,4110,4165,3021,3047,2462,2493,1756,1817,798,948,205,334,58,74,36094,0,39,2,26956
Kelantan,P.020 Pengkalan Chepa,N.05 Kijang,30265,1135,1085,3697,3661,3690,3707,2727,2696,1858,1958,1156,1335,528,633,110,207,39,43,30244,0,18,3,22173
Kelantan,P.020 Pengkalan Chepa,N.06 Chempaka,34385,1303,1196,4531,4182,4669,4342,2920,2856,1933,2121,1202,1520,548,668,94,222,33,45,32922,1457,0,6,24702
Kelantan,P.020 Pengkalan Chepa,N.07 Panchor,42332,1829,1755,5806,5808,5648,5348,3173,3231,2191,2528,1528,1708,602,775,115,212,30,45,41164,0,1155,13,28509
Kelantan,P.021 Kota Bharu,N.08 Tanjong Mas,45385,1523,1462,5934,5613,6379,6016,3538,3669,2414,2761,1699,2181,773,952,140,248,28,55,45373,0,0,12,32114
Kelantan,P.021 Kota Bharu,N.09 Kota Lama,33114,624,555,2234,2174,3355,2938,2951,2863,2846,2897,2542,2873,1327,1670,391,574,154,146,32256,0,855,3,28157
Kelantan,P.021 Kota Bharu,N.10 Bunut Payong,36951,1079,1050,4045,4084,4572,4399,3163,3197,2440,2600,1752,2035,828,1072,192,331,38,74,36939,0,0,12,28437
Kelantan,P.022 Pasir Mas,N.11 Tendong,31645,1145,1028,3717,3670,3638,3722,2636,2637,2119,2153,1421,1528,719,853,192,333,46,88,31634,0,11,0,23906
Kelantan,P.022 Pasir Mas,N.12 Pengkalan Pasir,33033,1035,950,3605,3508,3926,3957,2923,2863,2171,2294,1629,1839,738,926,195,340,57,77,32953,0,79,1,25817
Kelantan,P.022 Pasir Mas,N.13 Meranti,29866,1018,1000,3479,3509,3484,3446,2559,2347,1907,1997,1360,1441,715,810,208,350,109,127,29831,0,32,3,21499
Kelantan,P.023 Rantau Panjang,N.14 Chetok,28976,963,929,3217,3278,3358,3453,2397,2493,1953,1948,1392,1524,651,831,174,304,36,75,28972,0,0,4,22149
Kelantan,P.023 Rantau Panjang,N.15 Gual Periok,35814,1268,1262,4369,4077,3977,3949,3132,2770,2565,2384,1893,1628,840,810,303,313,148,126,35701,41,64,8,24046
Kelantan,P.023 Rantau Panjang,N.16 Apam Putra,28458,1133,1006,3472,3446,3412,3253,2226,2198,1899,1887,1364,1344,593,708,151,248,48,70,28161,0,294,3,19920
Kelantan,P.024 Kubang Kerian,N.17 Salor,36133,1191,1207,4195,4209,4369,4205,3105,3083,2334,2485,1518,1802,748,1036,175,355,45,71,36132,0,0,1,27164
Kelantan,P.024 Kubang Kerian,N.18 Pasir Tumboh,37175,1573,1475,4995,5085,4639,4572,2733,2724,2038,2290,1525,1667,639,772,126,235,28,59,37155,0,15,5,26257
Kelantan,P.024 Kubang Kerian,N.19 Demit,40332,1589,1536,5345,5063,5282,5098,3029,3229,2185,2558,1537,1798,730,880,129,241,36,67,40242,0,83,7,28597
Kelantan,P.025 Bachok,N.20 Tawang,43101,1747,1685,5438,5383,5302,5346,3637,3656,2550,2680,1602,1832,751,983,153,267,27,62,43090,0,9,2,31434
Kelantan,P.025 Bachok,N.21 Pantai Irama,40216,1440,1450,4768,4708,5034,5063,3383,3470,2627,2659,1670,1887,678,896,131,271,29,52,39977,0,234,5,30719
Kelantan,P.025 Bachok,N.22 Jelawat,39866,1475,1345,4711,4733,4917,5034,3316,3379,2460,2611,1623,1889,788,1018,170,299,34,64,39858,0,7,1,30453
Kelantan,P.026 Ketereh,N.23 Melor,28285,1038,975,3381,3301,3394,3337,2378,2423,1851,1921,1251,1394,557,684,109,218,28,45,28269,0,16,0,21240
Kelantan,P.026 Ketereh,N.24 Kadok,21636,775,809,2531,2461,2588,2647,1823,1850,1370,1520,897,1037,442,563,107,165,21,30,21635,0,0,1,16583
Kelantan,P.026 Ketereh,N.25 Kok Lanas,35360,1163,1165,4703,4073,4992,4352,3116,2875,2064,2300,1403,1558,573,642,120,206,22,33,32316,3008,32,4,27415
Kelantan,P.027 Tanah Merah,N.26 Bukit Panau,49934,1878,1890,6259,6331,5739,5909,4100,4029,3214,3535,2341,2294,844,976,196,309,38,52,49680,0,250,4,35135
Kelantan,P.027 Tanah Merah,N.27 Gual Ipoh,25687,820,790,2684,2766,3085,3160,2472,2372,1715,1709,1252,1371,486,608,118,217,31,31,25669,0,18,0,20048
Kelantan,P.027 Tanah Merah,N.28 Kemahang,23161,684,701,2565,2575,3241,3228,2129,2098,1239,1293,962,1233,566,441,65,109,11,21,23148,0,12,1,17989
Kelantan,P.028 Pasir Puteh,N.29 Selising,28573,1050,1053,3426,3423,3347,3460,2421,2333,1862,1934,1200,1354,548,710,137,244,18,53,28565,0,6,2,21348
Kelantan,P.028 Pasir Puteh,N.30 Limbongan,35270,1375,1324,4362,4400,4229,4272,2773,2926,2158,2333,1400,1679,666,882,137,272,31,51,35051,0,216,3,25629
Kelantan,P.028 Pasir Puteh,N.31 Semerak,26580,931,939,3129,3146,3116,3342,2289,2294,1766,1847,1115,1202,488,612,88,208,23,45,26552,0,27,1,20690
Kelantan,P.028 Pasir Puteh,N.32 Gaal,22647,771,716,2490,2628,2630,2807,1936,1927,1484,1622,991,1164,447,646,95,224,24,45,22633,0,13,1,17744
Kelantan,P.029 Machang,N.33 Pulai Chondong,28088,979,869,3253,3328,3309,3239,2309,2312,1880,2011,1416,1503,516,715,122,251,31,45,28076,0,10,2,21644
Kelantan,P.029 Machang,N.34 Temangan,25935,824,778,2969,2852,3132,3177,2220,2162,1811,1788,1139,1329,532,732,138,267,18,67,25930,0,3,2,20354
Kelantan,P.029 Machang,N.35 Kemuning,34802,1213,1173,4038,4038,4367,4277,2967,2995,2294,2329,1518,1691,632,816,139,232,26,57,34543,12,243,4,26389
Kelantan,P.030 Jeli,N.36 Bukit Bunga,21748,686,627,2674,2490,2470,2597,1914,1866,1532,1461,1104,940,470,478,127,178,73,61,20722,958,68,0,17352
Kelantan,P.030 Jeli,N.37 Air Lanas,22382,821,836,2694,2654,2698,2773,1936,1951,1575,1455,986,875,391,444,82,156,28,27,22178,0,204,0,17711
Kelantan,P.030 Jeli,N.38 Kuala Balah,15668,498,498,1865,1767,2072,1952,1495,1379,978,970,697,685,264,352,55,105,13,23,15001,650,16,1,12407
Kelantan,P.031 Kuala Krai,N.39 Mengkebang,26774,1005,943,3397,3335,3358,3356,2326,2180,1698,1635,1023,1169,423,566,121,170,26,43,26774,0,0,0,20218
Kelantan,P.031 Kuala Krai,N.40 Guchil,27781,964,940,3213,3076,3431,3286,2429,2186,1796,1975,1373,1457,557,653,127,237,31,50,27539,0,242,0,20560
Kelantan,P.031 Kuala Krai,N.41 Manek Urai,22546,829,740,2719,2658,2832,3034,2161,1985,1320,1254,875,980,376,481,98,158,20,26,22522,0,24,0,17722
Kelantan,P.031 Kuala Krai,N.42 Dabong,15234,570,540,1871,1874,1991,1888,1385,1190,913,875,626,666,301,311,87,117,14,15,15219,0,14,1,11848
Kelantan,P.032 Gua Musang,N.43 Nenggiri,19968,872,813,2799,2714,2663,2559,1653,1473,985,946,691,829,438,364,75,72,12,10,19956,0,12,0,15010
Kelantan,P.032 Gua Musang,N.44 Paloh,21064,686,678,2621,2635,3270,3224,1681,1502,722,958,969,1152,558,332,39,28,5,4,21050,0,14,0,17115
Kelantan,P.032 Gua Musang,N.45 Galas,29222,1378,1370,4125,4102,3755,3453,2294,2105,1698,1636,1181,1015,413,393,126,117,32,29,28987,0,231,4,20399
Terengganu,P.033 Besut,N.01 Kuala Besut,26745,1012,937,3615,3194,3651,3275,2432,2311,1579,1611,915,1031,399,533,61,140,21,28,25356,1360,27,2,20762
Terengganu,P.033 Besut,N.02 Kota Putera,32303,1344,1296,4332,4182,4144,4100,2630,2581,1803,1973,1197,1344,468,578,97,182,14,38,32015,8,280,0,24182
Terengganu,P.033 Besut,N.03 Jertih,28927,1098,969,3484,3514,3583,3742,2438,2481,1801,1879,1179,1309,474,621,109,199,13,34,28864,0,60,3,22880
Terengganu,P.033 Besut,N.04 Hulu Besut,23675,855,795,2859,2842,3105,3099,2044,1957,1419,1500,974,997,418,534,77,158,16,26,23656,0,17,2,18803
Terengganu,P.034 Setiu,N.05 Jabi,24919,898,861,3068,3117,3098,3241,2312,2116,1592,1550,878,1021,383,486,84,158,19,37,24919,0,0,0,20041
Terengganu,P.034 Setiu,N.06 Permaisuri,30464,1149,1137,4071,3977,3958,4005,2644,2519,1738,1836,1083,1130,408,489,91,183,14,32,30223,25,215,1,23839
Terengganu,P.034 Setiu,N.07 Langkap,22269,787,719,2613,2599,2951,2901,2116,2047,1320,1269,768,894,461,514,82,181,10,37,22251,0,18,0,18296
Terengganu,P.034 Setiu,N.08 Batu Rakit,29642,1030,976,3504,3461,3925,3969,2643,2532,1655,1973,1238,1325,499,573,111,187,13,28,29583,0,58,1,24071
Terengganu,P.035 Kuala Nerus,N.09 Tepuh,30120,1269,1139,3898,3923,3981,3971,2402,2427,1668,1875,1091,1204,453,495,104,193,8,19,30113,0,4,3,23111
Terengganu,P.035 Kuala Nerus,N.10 Buluh Gading,27587,999,890,3277,3183,3563,3627,2407,2522,1682,1760,1120,1175,499,525,103,213,13,29,27587,0,0,0,22528
Terengganu,P.035 Kuala Nerus,N.11 Seberang Takir,27303,1114,1018,4028,3608,3871,3438,2118,2111,1355,1597,987,1096,362,396,69,112,9,14,25706,833,760,4,20607
Terengganu,P.035 Kuala Nerus,N.12 Bukit Tunggal,20942,663,679,2444,2304,2870,2689,1924,1829,1361,1373,849,933,369,423,64,128,13,27,20939,0,0,3,17417
Terengganu,P.036 Kuala Terengganu,N.13 Wakaf Mempelam,34303,1077,1034,3835,3787,4715,4507,3143,3140,2043,2214,1329,1642,589,810,143,247,13,35,34296,0,0,7,28059
Terengganu,P.036 Kuala Terengganu,N.14 Bandar,22215,399,405,1695,1581,2407,2163,1864,1884,1859,2027,1773,1771,774,901,231,332,76,73,22139,0,71,5,20268
Terengganu,P.036 Kuala Terengganu,N.15 Ladang,26268,660,625,2645,2382,3611,3106,2436,2248,1850,1927,1373,1600,549,745,156,280,30,45,24956,34,1270,8,22570
Terengganu,P.036 Kuala Terengganu,N.16 Batu Buruk,40519,1337,1323,4808,4636,5343,5095,3545,3553,2452,2704,1652,1991,730,891,150,261,21,27,40487,0,28,4,32714
Terengganu,P.037 Marang,N.17 Alur Limbat,35638,1339,1281,4578,4344,4712,4559,2909,2943,2036,2230,1415,1545,616,697,143,241,19,31,35460,177,0,1,28038
Terengganu,P.037 Marang,N.18 Bukit Payung,28553,1135,1015,3592,3433,3660,3677,2205,2383,1678,1949,1179,1262,473,586,103,185,12,26,28531,0,18,4,22661
Terengganu,P.037 Marang,N.19 Ru Rendang,32587,1263,1105,4107,3864,4376,4160,2744,2771,1944,2054,1232,1505,521,607,119,178,12,25,32414,0,172,1,25999
Terengganu,P.037 Marang,N.20 Pengkalan Berangan,34978,1257,1173,4271,4090,4574,4583,2993,2948,2253,2324,1410,1483,487,628,144,302,19,39,34596,0,376,6,28200
Terengganu,P.038 Hulu Terengganu,N.21 Telemung,21369,680,621,2566,2423,2952,2811,1836,1862,1132,1258,922,1017,426,486,100,215,20,42,21362,0,6,1,17868
Terengganu,P.038 Hulu Terengganu,N.22 Manir,20531,679,597,2338,2258,2777,2784,1790,1795,1269,1402,850,898,375,436,75,167,12,29,20508,0,22,1,17239
Terengganu,P.038 Hulu Terengganu,N.23 Kuala Berang,21308,702,628,2425,2343,2776,2776,1763,1761,1343,1420,982,1005,444,552,100,238,18,32,21115,0,192,1,17848
Terengganu,P.038 Hulu Terengganu,N.24 Ajil,24709,793,767,2699,2681,3445,3464,2393,2243,1356,1454,1055,1150,396,501,89,169,20,34,24696,0,12,1,20532
Terengganu,P.039 Dungun,N.25 Bukit Besi,18102,603,609,2124,2142,2418,2204,1632,1621,1226,1195,651,722,276,429,92,129,5,24,18055,0,46,1,14493
Terengganu,P.039 Dungun,N.26 Rantau Abang,32922,1360,1381,4497,4230,4347,4194,2666,2687,1947,2027,1232,1205,425,493,62,145,11,13,32463,0,457,2,24819
Terengganu,P.039 Dungun,N.27 Sura,30130,1007,945,3432,3297,3683,3615,2552,2550,2169,2287,1430,1545,493,678,112,233,48,54,30091,35,0,4,24761
Terengganu,P.039 Dungun,N.28 Paka,34405,1432,1362,4355,4223,4616,4527,3168,3048,1830,1867,1327,1473,538,463,58,86,10,22,34343,0,57,5,26433
Terengganu,P.040 Kemaman,N.29 Kemasik,28315,1097,1048,3398,3299,3766,3662,2661,2416,1652,1726,1267,1243,438,396,95,119,14,18,28279,0,33,3,22132
Terengganu,P.040 Kemaman,N.30 Kijal,29046,1221,1071,3562,3456,3794,3554,2550,2534,1917,1986,1160,1188,387,414,65,147,10,30,29023,11,12,0,22580
Terengganu,P.040 Kemaman,N.31 Cukai,38776,1519,1364,4485,4299,4568,4291,3258,3392,2851,2731,2004,1885,791,847,135,249,61,46,38460,0,310,6,30374
Terengganu,P.040 Kemaman,N.32 Air Putih,43286,1801,1773,5563,5426,5847,5579,3801,3679,2305,2397,1575,1734,753,699,112,182,24,36,43262,0,21,3,32507
Pulau Pinang,P.041 Kepala Batas,N.01 Penaga,25229,960,897,2940,2926,2420,2538,2231,2309,1994,2070,1087,1219,508,709,135,232,21,33,25229,0,0,0,19089
Pulau Pinang,P.041 Kepala Batas,N.02 Bertam,23881,777,661,2463,2420,2690,2433,2154,2114,1902,1796,1275,1342,574,795,151,273,37,24,23194,0,686,1,18378
Pulau Pinang,P.041 Kepala Batas,N.03 Pinang Tunggal,33971,1471,1461,4365,4264,3434,3518,2739,2938,2327,2308,1481,1597,696,869,181,269,11,42,33970,0,0,1,23056
Pulau Pinang,P.042 Tasek Gelugor,N.04 Permatang Berangan,28229,1041,1032,3290,3323,3070,3092,2289,2538,1842,2099,1230,1497,620,769,180,260,22,35,28189,0,38,2,21120
Pulau Pinang,P.042 Tasek Gelugor,N.05 Sungai Dua,27840,992,965,3191,3056,3007,2894,2369,2543,2063,2175,1278,1504,590,784,139,244,19,27,27787,0,52,1,20558
Pulau Pinang,P.042 Tasek Gelugor,N.06 Telok Ayer Tawar,24799,630,625,2866,2315,3447,2763,2327,2197,1604,1756,1134,1359,568,770,121,254,29,34,22279,2485,32,3,19172
Pulau Pinang,P.043 Bagan,N.07 Sungai Puyu,35765,962,946,3273,3009,3466,3377,3354,3392,3099,3109,2262,2426,1053,1234,272,435,33,63,35764,0,0,1,27671
Pulau Pinang,P.043 Bagan,N.08 Bagan Jermal,32403,795,776,2759,2645,2931,2852,3053,2948,2720,2834,2071,2524,1153,1459,269,456,68,90,32400,0,0,3,25621
Pulau Pinang,P.043 Bagan,N.09 Bagan Dalam,21279,399,425,1484,1420,1928,1816,1784,1768,1940,1929,1709,1918,918,1066,239,334,121,81,21100,0,179,0,18291
Pulau Pinang,P.044 Permatang Pauh,N.10 Seberang Jaya,48832,1679,1608,5439,5290,5462,5021,4157,4562,3429,3715,2541,3019,1071,1295,172,311,25,36,48101,0,726,5,35541
Pulau Pinang,P.044 Permatang Pauh,N.11 Permatang Pasir,30380,880,832,2832,2853,3035,2955,2764,2730,2685,2674,1847,1867,801,1040,171,318,38,58,30377,0,0,3,24811
Pulau Pinang,P.044 Permatang Pauh,N.12 Penanti,27974,912,835,2969,2972,3089,3150,2348,2294,2090,2275,1480,1650,604,793,144,304,26,39,27934,0,36,4,21437
Pulau Pinang,P.045 Bukit Mertajam,N.13 Berapit,29059,618,606,2184,2180,2598,2579,2546,2582,2508,2486,2174,2453,1156,1430,308,512,55,84,29044,0,12,3,23779
Pulau Pinang,P.045 Bukit Mertajam,N.14 Machang Bubuk,55803,2153,2087,7188,6826,5961,5925,4627,4957,3699,4104,2451,2712,1014,1311,264,439,25,60,55768,0,30,5,37260
Pulau Pinang,P.045 Bukit Mertajam,N.15 Padang Lalang,35957,922,779,3018,2853,3564,3530,3269,3292,2721,2992,2293,2755,1380,1592,352,492,65,88,35954,0,0,3,27959
Pulau Pinang,P.046 Batu Kawan,N.16 Perai,20567,463,397,1519,1509,1968,1929,1769,1855,1705,1855,1432,1818,789,934,200,292,67,66,20522,0,45,0,17032
Pulau Pinang,P.046 Batu Kawan,N.17 Bukit Tengah,31213,1159,1045,3375,3274,3272,3236,2771,2911,2341,2493,1541,1685,659,939,173,270,22,47,31186,0,27,0,22276
Pulau Pinang,P.046 Batu Kawan,N.18 Bukit Tambun,37032,1296,1299,4311,4071,3731,3647,3277,3303,2788,3027,1848,1944,801,996,235,359,31,68,36906,0,126,0,26086
Pulau Pinang,P.047 Nibong Tebal,N.19 Jawi,36350,1128,1069,3988,3728,3853,3641,3212,3366,2779,3042,1768,2032,882,1119,242,381,51,69,35855,0,492,3,26699
Pulau Pinang,P.047 Nibong Tebal,N.20 Sungai Bakap,37781,1602,1499,4659,4661,3883,3908,3206,3555,2557,2880,1537,1864,613,901,138,265,22,31,37730,0,51,0,26666
Pulau Pinang,P.047 Nibong Tebal,N.21 Sungai Acheh,25931,862,821,2928,2702,2780,2840,2236,2353,1848,2047,1181,1465,602,847,117,236,20,46,25926,0,0,5,20018
Pulau Pinang,P.048 Bukit Bendera,N.22 Tanjong Bunga,29289,686,708,2521,2374,2556,2517,2426,2604,2361,2591,1905,2290,1129,1488,392,539,73,129,29031,180,72,6,21768
Pulau Pinang,P.048 Bukit Bendera,N.23 Air Putih,15379,260,225,1039,858,1278,1155,1371,1247,1354,1444,1157,1449,732,973,220,451,63,103,15027,0,349,3,13509
